seq_id,primary_label,secondary_label,global_index
FEV000001,0,10,0
FEV000002,0,10,1
FEV000003,0,10,2
FEV000007,0,10,3
FEV000008,0,10,4
FEV000009,0,10,5
FEV000012,0,10,6
FEV000013,0,10,7
FEV000014,0,10,8
FEV000015,0,10,9
FEV000016,0,10,10
FEV000018,0,10,11
FEV000019,0,10,12
FEV000020,0,10,13
FEV000021,0,10,14
FEV000022,0,10,15
FEV000023,0,10,16
FEV000024,0,10,17
FEV000025,0,10,18
FEV000026,0,10,19
FEV000027,0,10,20
FEV000028,0,10,21
FEV000029,0,10,22
FEV000030,0,10,23
FEV000031,0,10,24
FEV000032,0,10,25
FEV000033,0,10,26
FEV000034,0,10,27
FEV000036,0,10,28
FEV000037,0,10,29
FEV000038,0,10,30
FEV000039,0,10,31
FEV000040,0,10,32
FEV000041,0,10,33
FEV000042,0,10,34
FEV000043,0,10,35
FEV000044,0,10,36
FEV000045,0,10,37
FEV000046,0,10,38
FEV000047,0,10,39
FEV000048,0,10,40
FEV000049,0,10,41
FEV000050,0,10,42
FEV000051,0,10,43
FEV000052,0,10,44
FEV000053,0,10,45
FEV000054,0,10,46
FEV000057,0,10,47
FEV000058,0,10,48
FEV000059,0,10,49
FEV000060,0,10,50
FEV000061,0,10,51
FEV000062,0,10,52
FEV000063,0,10,53
FEV000064,0,10,54
FEV000066,0,10,55
FEV000068,0,10,56
FEV000069,0,10,57
FEV000070,0,10,58
FEV000071,0,10,59
FEV000072,0,10,60
FEV000073,0,10,61
FEV000074,0,10,62
FEV000075,0,10,63
FEV000076,0,10,64
FEV000077,0,10,65
FEV000079,0,10,66
FEV000080,0,10,67
FEV000081,0,10,68
FEV000082,0,10,69
FEV000083,0,10,70
FEV000084,0,10,71
FEV000085,0,10,72
FEV000086,0,10,73
FEV000087,0,10,74
FEV000088,0,10,75
FEV000089,0,10,76
FEV000090,0,10,77
FEV000091,0,10,78
FEV000092,0,10,79
FEV000093,0,10,80
FEV000094,0,10,81
FEV000096,0,10,82
FEV000097,0,10,83
FEV000098,0,10,84
FEV000100,0,10,85
FEV000101,0,10,86
FEV000102,0,10,87
FEV000103,0,10,88
FEV000104,0,10,89
FEV000105,0,10,90
FEV000106,0,10,91
FEV000107,0,10,92
FEV000108,0,10,93
FEV000109,0,10,94
FEV000110,0,10,95
FEV000111,0,10,96
FEV000112,0,10,97
FEV000114,0,10,98
FEV000116,0,10,99
FEV000119,0,10,100
FEV000121,0,10,101
FEV000122,0,10,102
FEV000123,0,10,103
FEV000124,0,10,104
FEV000125,0,10,105
FEV000129,0,10,106
FEV000130,0,10,107
FEV000132,0,10,108
FEV000133,0,10,109
FEV000135,0,10,110
FEV000136,0,10,111
FEV000137,0,10,112
FEV000139,0,10,113
FEV000140,0,10,114
FEV000141,0,10,115
FEV000142,0,10,116
FEV000143,0,10,117
FEV000145,0,10,118
FEV000146,0,10,119
FEV000148,0,10,120
FEV000149,0,10,121
FEV000150,0,10,122
FEV000151,0,10,123
FEV000152,0,10,124
FEV000154,0,10,125
FEV000156,0,10,126
FEV000157,0,10,127
FEV000158,0,10,128
FEV000159,0,10,129
FEV000160,0,10,130
FEV000163,0,10,131
FEV000164,0,10,132
FEV000166,0,10,133
FEV000167,0,10,134
FEV000168,0,10,135
FEV000169,0,10,136
FEV000170,0,10,137
FEV000171,0,10,138
FEV000172,0,10,139
FEV000173,0,10,140
FEV000174,0,10,141
FEV000175,0,10,142
FEV000176,0,10,143
FEV000178,0,10,144
FEV000179,0,10,145
FEV000180,0,10,146
FEV000181,0,10,147
FEV000182,0,10,148
FEV000183,0,10,149
FEV000184,0,10,150
FEV000185,0,10,151
FEV000186,0,10,152
FEV000187,0,10,153
FEV000189,0,10,154
FEV000192,0,10,155
FEV000193,0,10,156
FEV000194,0,10,157
FEV000195,0,10,158
FEV000196,0,10,159
FEV000197,0,10,160
FEV000199,0,10,161
FEV000200,0,10,162
FEV000204,0,10,163
FEV000205,0,10,164
FEV000206,0,10,165
FEV000208,0,10,166
FEV000209,0,10,167
FEV000210,0,10,168
FEV000211,0,10,169
FEV000212,0,10,170
FEV000213,0,10,171
FEV000214,0,10,172
FEV000215,0,10,173
FEV000216,0,10,174
FEV000217,0,10,175
FEV000218,0,10,176
FEV000219,0,10,177
FEV000220,0,10,178
FEV000221,0,10,179
FEV000222,0,10,180
FEV000223,0,10,181
FEV000227,0,10,182
FEV000228,0,10,183
FEV000229,0,10,184
FEV000230,0,10,185
FEV000231,0,10,186
FEV000232,0,10,187
FEV000234,0,10,188
FEV000235,0,10,189
FEV000237,0,10,190
FEV000238,0,10,191
FEV000239,0,10,192
FEV000240,0,10,193
FEV000241,0,10,194
FEV000244,0,10,195
FEV000245,0,10,196
FEV000246,0,10,197
FEV000247,0,10,198
FEV000248,0,10,199
FEV000249,0,10,200
FEV000251,0,10,201
FEV000252,0,10,202
FEV000253,0,10,203
FEV000255,0,10,204
FEV000257,0,10,205
FEV000258,0,10,206
FEV000259,0,10,207
FEV000260,0,10,208
FEV000262,0,10,209
FEV000264,0,10,210
FEV000265,0,10,211
FEV000266,0,10,212
FEV000268,0,10,213
FEV000269,0,10,214
FEV000270,0,10,215
FEV000271,0,10,216
FEV000272,0,10,217
FEV000273,0,10,218
FEV000274,0,10,219
FEV000275,0,10,220
FEV000276,0,10,221
FEV000277,0,10,222
FEV000279,0,10,223
FEV000280,0,10,224
FEV000282,0,10,225
FEV000283,0,10,226
FEV000284,0,10,227
FEV000285,0,10,228
FEV000287,0,10,229
FEV000288,0,10,230
FEV000289,0,10,231
FEV000290,0,10,232
FEV000291,0,10,233
FEV000292,0,10,234
FEV000293,0,10,235
FEV000294,0,10,236
FEV000295,0,10,237
FEV000296,0,10,238
FEV000297,0,10,239
FEV000298,0,10,240
FEV000299,0,10,241
FEV000300,0,10,242
FEV000301,0,10,243
FEV000304,0,10,244
FEV000305,0,10,245
FEV000306,0,10,246
FEV000307,0,10,247
FEV000308,0,10,248
FEV000309,0,10,249
FEV000310,0,10,250
FEV000311,0,10,251
FEV000312,0,10,252
FEV000313,0,10,253
FEV000314,0,10,254
FEV000315,0,10,255
FEV000316,0,10,256
FEV000317,0,10,257
FEV000318,0,10,258
FEV000319,0,10,259
FEV000320,0,10,260
FEV000322,0,10,261
FEV000323,0,10,262
FEV000324,0,10,263
FEV000325,0,10,264
FEV000326,0,10,265
FEV000327,0,10,266
FEV000329,0,10,267
FEV000330,0,10,268
FEV000331,0,10,269
FEV000332,0,10,270
FEV000333,0,10,271
FEV000334,0,10,272
FEV000335,0,10,273
FEV000337,0,10,274
FEV000339,0,10,275
FEV000340,0,10,276
FEV000341,0,10,277
FEV000343,0,10,278
FEV000344,0,10,279
FEV000345,0,10,280
FEV000347,0,10,281
FEV000348,0,10,282
FEV000349,0,10,283
FEV000350,0,10,284
FEV000351,0,10,285
FEV000352,0,10,286
FEV000353,0,10,287
FEV000354,0,10,288
FEV000355,0,10,289
FEV000356,0,10,290
FEV000357,0,10,291
FEV000359,0,10,292
FEV000360,0,10,293
FEV000361,0,10,294
FEV000362,0,10,295
FEV000364,0,10,296
FEV000366,0,10,297
FEV000368,0,10,298
FEV000369,0,10,299
FEV000370,0,10,300
FEV000371,0,10,301
FEV000373,0,10,302
FEV000374,0,10,303
FEV000375,0,10,304
FEV000377,0,10,305
FEV000378,0,10,306
FEV000379,0,10,307
FEV000381,0,10,308
FEV000382,0,10,309
FEV000383,0,10,310
FEV000384,0,10,311
FEV000387,0,10,312
FEV000388,0,10,313
FEV000390,0,10,314
FEV000391,0,10,315
FEV000393,0,10,316
FEV000394,0,10,317
FEV000395,0,10,318
FEV000397,0,10,319
FEV000399,0,10,320
FEV000400,0,10,321
FEV000401,0,10,322
FEV000403,0,10,323
FEV000404,0,10,324
FEV000406,0,10,325
FEV000407,0,10,326
FEV000408,0,10,327
FEV000409,0,10,328
FEV000410,0,10,329
FEV000411,0,10,330
FEV000412,0,10,331
FEV000414,0,10,332
FEV000415,0,10,333
FEV000417,0,10,334
FEV000419,0,10,335
FEV000421,0,10,336
FEV000422,0,10,337
FEV000423,0,10,338
FEV000424,0,10,339
FEV000425,0,10,340
FEV000426,0,10,341
FEV000427,0,10,342
FEV000428,0,10,343
FEV000429,0,10,344
FEV000430,0,10,345
FEV000431,0,10,346
FEV000433,0,10,347
FEV000434,0,10,348
FEV000435,0,10,349
FEV000436,0,10,350
FEV000437,0,10,351
FEV000438,0,10,352
FEV000439,0,10,353
FEV000440,0,10,354
FEV000441,0,10,355
FEV000443,0,10,356
FEV000444,0,10,357
FEV000445,0,10,358
FEV000446,0,10,359
FEV000447,0,10,360
FEV000448,0,10,361
FEV000449,0,10,362
FEV000450,0,10,363
FEV000451,0,10,364
FEV000452,0,10,365
FEV000453,0,10,366
FEV000454,0,10,367
FEV000455,0,10,368
FEV000457,0,10,369
FEV000458,0,10,370
FEV000459,0,10,371
FEV000460,0,10,372
FEV000461,0,10,373
FEV000462,0,10,374
FEV000463,0,10,375
FEV000464,0,10,376
FEV000465,0,10,377
FEV000466,0,10,378
FEV000469,0,10,379
FEV000470,0,10,380
FEV000472,0,10,381
FEV000473,0,10,382
FEV000474,0,10,383
FEV000476,0,10,384
FEV000477,0,10,385
FEV000479,0,10,386
FEV000480,0,10,387
FEV000481,0,10,388
FEV000482,0,10,389
FEV000483,0,10,390
FEV000484,0,10,391
FEV000485,0,10,392
FEV000486,0,10,393
FEV000487,0,10,394
FEV000488,0,10,395
FEV000490,0,10,396
FEV000491,0,10,397
FEV000492,0,10,398
FEV000494,0,10,399
FEV000495,0,10,400
FEV000496,0,10,401
FEV000497,0,10,402
FEV000498,0,10,403
FEV000499,0,10,404
FEV000501,0,10,405
FEV000502,0,10,406
FEV000504,0,10,407
FEV000507,0,10,408
FEV000508,0,10,409
FEV000510,0,10,410
FEV000512,0,10,411
FEV000515,0,10,412
FEV000516,0,10,413
FEV000517,0,10,414
FEV000518,0,10,415
FEV000519,0,10,416
FEV000520,0,10,417
FEV000521,0,10,418
FEV000522,0,10,419
FEV000523,0,10,420
FEV000527,0,10,421
FEV000528,0,10,422
FEV000529,0,10,423
FEV000530,0,10,424
FEV000531,0,10,425
FEV000532,0,10,426
FEV000533,0,10,427
FEV000534,0,10,428
FEV000535,0,10,429
FEV000536,0,10,430
FEV000539,0,10,431
FEV000541,0,10,432
FEV000542,0,10,433
FEV000543,0,10,434
FEV000544,0,10,435
FEV000545,0,10,436
FEV000547,0,10,437
FEV000548,0,10,438
FEV000549,0,10,439
FEV000550,0,10,440
FEV000551,0,10,441
FEV000552,0,10,442
FEV000553,0,10,443
FEV000554,0,10,444
FEV000555,0,10,445
FEV000556,0,10,446
FEV000557,0,10,447
FEV000558,0,10,448
FEV000559,0,10,449
FEV000561,0,10,450
FEV000562,0,10,451
FEV000565,0,10,452
FEV000566,0,10,453
FEV000567,0,10,454
FEV000568,0,10,455
FEV000569,0,10,456
FEV000571,0,10,457
FEV000572,0,10,458
FEV000573,0,10,459
FEV000574,0,10,460
FEV000576,0,10,461
FEV000577,0,10,462
FEV000578,0,10,463
FEV000579,0,10,464
FEV000580,0,10,465
FEV000582,0,10,466
FEV000583,0,10,467
FEV000584,0,10,468
FEV000585,0,10,469
FEV000586,0,10,470
FEV000587,0,10,471
FEV000588,0,10,472
FEV000589,0,10,473
FEV000590,0,10,474
FEV000591,0,10,475
FEV000592,0,10,476
FEV000593,0,10,477
FEV000594,0,10,478
FEV000595,0,10,479
FEV000597,0,10,480
FEV000598,0,10,481
FEV000599,0,10,482
FEV000600,0,10,483
FEV000602,0,10,484
FEV000603,0,10,485
FEV000605,0,10,486
FEV000606,0,10,487
FEV000608,0,10,488
FEV000610,0,10,489
FEV000611,0,10,490
FEV000612,0,10,491
FEV000613,0,10,492
FEV000614,0,10,493
FEV000615,0,10,494
FEV000616,0,10,495
FEV000618,0,10,496
FEV000619,0,10,497
FEV000620,0,10,498
FEV000621,0,10,499
FEV000622,0,10,500
FEV000623,0,10,501
FEV000625,0,10,502
FEV000626,0,10,503
FEV000627,0,10,504
FEV000628,0,10,505
FEV000629,0,10,506
FEV000630,0,10,507
FEV000631,0,10,508
FEV000632,0,10,509
FEV000633,0,10,510
FEV000634,0,10,511
FEV000635,0,10,512
FEV000637,0,10,513
FEV000638,0,10,514
FEV000640,0,10,515
FEV000641,0,10,516
FEV000642,0,10,517
FEV000643,0,10,518
FEV000644,0,10,519
FEV000645,0,10,520
FEV000648,0,10,521
FEV000650,0,10,522
FEV000651,0,10,523
FEV000652,0,10,524
FEV000653,0,10,525
FEV000654,0,10,526
FEV000655,0,10,527
FEV000656,0,10,528
FEV000657,0,10,529
FEV000658,0,10,530
FEV000659,0,10,531
FEV000661,0,10,532
FEV000662,0,10,533
FEV000663,0,10,534
FEV000665,0,10,535
FEV000666,0,10,536
FEV000669,0,10,537
FEV000670,0,10,538
FEV000673,0,10,539
FEV000678,0,10,540
FEV000680,0,10,541
FEV000681,0,10,542
FEV000682,0,10,543
FEV000683,0,10,544
FEV000684,0,10,545
FEV000685,0,10,546
FEV000686,0,10,547
